"item_reference","x","y","z","row","column","block"
1001396730,9.65,1.7,0.64,3,2,"1.F"
1005911337,9.625,1.7,0.64,3,2,"1.F"
1006468546,9.6,1.7,0.64,3,2,"1.F"
1000742367,9.575,1.7,0.64,3,2,"1.F"
1002981171,9.55,1.7,0.64,3,2,"1.F"
1004763540,9.525,1.7,0.64,3,2,"1.F"
1004763757,9.5,1.7,0.64,3,2,"1.F"
1003312839,9.475,1.7,0.64,3,2,"1.F"
1004449305,9.45,1.7,0.64,3,2,"1.F"
1004449314,9.425,1.7,0.64,3,2,"1.F"
1005171546,9.4,1.7,0.64,3,2,"1.F"
1001416548,9.375,1.7,0.64,3,2,"1.F"
1000733709,9.35,1.7,0.64,3,2,"1.F"
1002426302,9.325,1.7,0.64,3,2,"1.F"
1001731971,9.3,1.7,0.64,3,2,"1.F"
1002426483,9.275,1.7,0.64,3,2,"1.F"
1003482273,8.3,1.7,0.64,3,4,"1.F"
1005912408,8.24375,1.7,0.64,3,4,"1.F"
1006034871,8.20625,1.7,0.64,3,4,"1.F"
1006926141,8.1875,1.7,0.64,3,4,"1.F"
1006926132,8.16875,1.7,0.64,3,4,"1.F"
1003174932,8.15,1.7,0.64,3,4,"1.F"
1005642723,8.13125,1.7,0.64,3,4,"1.F"
1005642831,8.1125,1.7,0.64,3,4,"1.F"
1005646026,8.09375,1.7,0.64,3,4,"1.F"
1002393057,8.075,1.7,0.64,3,4,"1.F"
1002393075,8.05625,1.7,0.64,3,4,"1.F"
1002393110,8.0375,1.7,0.64,3,4,"1.F"
1002553185,8.01875,1.7,0.64,3,4,"1.F"
1002220012,8,1.7,0.64,3,4,"1.F"
1007086152,7.98125,1.7,0.64,3,4,"1.F"
1006915035,7.9625,1.7,0.64,3,4,"1.F"
1006915026,7.94375,1.7,0.64,3,4,"1.F"
1006914892,7.925,1.7,0.64,3,4,"1.F"
1005648691,7.90625,1.7,0.64,3,4,"1.F"
1005910266,7.8875,1.7,0.64,3,4,"1.F"
1004970450,7.86875,1.7,0.64,3,4,"1.F"
1000567074,7.85,1.7,0.64,3,4,"1.F"
1002190999,7.83125,1.7,0.64,3,4,"1.F"
1002541511,7.8125,1.7,0.64,3,4,"1.F"
1004302848,7.79375,1.7,0.64,3,4,"1.F"
1004723085,7.775,1.7,0.64,3,4,"1.F"
1006842748,7.75625,1.7,0.64,3,4,"1.F"
1002963612,7.7375,1.7,0.64,3,4,"1.F"
1002963621,7.71875,1.7,0.64,3,4,"1.F"
1005627865,7.7,1.7,0.64,3,4,"1.F"
1005823867,7.68125,1.7,0.64,3,4,"1.F"
1004759608,7.6625,1.7,0.64,3,4,"1.F"
1004759635,7.64375,1.7,0.64,3,4,"1.F"
1004759644,7.625,1.7,0.64,3,4,"1.F"
1002265527,7.60625,1.7,0.64,3,4,"1.F"
1005658889,7.5875,1.7,0.64,3,4,"1.F"
1006039227,7.56875,1.7,0.64,3,4,"1.F"
1006877786,7.55,1.7,0.64,3,4,"1.F"
1006031793,7.53125,1.7,0.64,3,4,"1.F"
1006848454,7.5125,1.7,0.64,3,4,"1.F"
1002109962,7.49375,1.7,0.64,3,4,"1.F"
1005828097,7.475,1.7,0.64,3,4,"1.F"
1003946953,7.4375,1.7,0.64,3,4,"1.F"
1003946971,7.41875,1.7,0.64,3,4,"1.F"
1005950046,6.4,2.9,0.64,3,1,"1.G"
1005122630,6.425,2.9,0.64,3,1,"1.G"
1006911011,6.45,2.9,0.64,3,1,"1.G"
1007098672,6.475,2.9,0.64,3,1,"1.G"
1001558758,6.5,2.9,0.64,3,1,"1.G"
1006493089,6.525,2.9,0.64,3,1,"1.G"
1004761245,6.55,2.9,0.64,3,1,"1.G"
1005142791,6.575,2.9,0.64,3,1,"1.G"
1003241540,6.6,2.9,0.64,3,1,"1.G"
1006492963,6.625,2.9,0.64,3,1,"1.G"
1000477696,6.65,2.9,0.64,3,1,"1.G"
1004306493,6.675,2.9,0.64,3,1,"1.G"
1003155032,6.7,2.9,0.64,3,1,"1.G"
1000497315,6.725,2.9,0.64,3,1,"1.G"
1003288620,6.75,2.9,0.64,3,1,"1.G"
1001337933,6.775,2.9,0.64,3,1,"1.G"
1000487316,6.8,2.9,0.64,3,1,"1.G"
1002279360,6.825,2.9,0.64,3,1,"1.G"
1000687440,6.85,2.9,0.64,3,1,"1.G"
1001228961,6.875,2.9,0.64,3,1,"1.G"
1002050804,6.9,2.9,0.64,3,1,"1.G"
1006047057,6.925,2.9,0.64,3,1,"1.G"
1002305658,6.95,2.9,0.64,3,1,"1.G"
1006845411,6.975,2.9,0.64,3,1,"1.G"
1006887307,7,2.9,0.64,3,1,"1.G"
1006851577,7.025,2.9,0.64,3,1,"1.G"
1000439157,7.05,2.9,0.64,3,1,"1.G"
1000697737,7.075,2.9,0.64,3,1,"1.G"
1006916773,7.1,2.9,0.64,3,1,"1.G"
1000374690,7.125,2.9,0.64,3,1,"1.G"
1001134352,7.15,2.9,0.64,3,1,"1.G"
1000444061,7.175,2.9,0.64,3,1,"1.G"
1000728598,7.2,2.9,0.64,3,1,"1.G"
1000386381,7.225,2.9,0.64,3,1,"1.G"
1000535709,7.3,2.9,0.64,3,2,"1.G"
1000535718,7.325,2.9,0.64,3,2,"1.G"
1000535727,7.35,2.9,0.64,3,2,"1.G"
1000535763,7.425,2.9,0.64,3,2,"1.G"
1000535772,7.45,2.9,0.64,3,2,"1.G"
1003887418,7.575,2.9,0.64,3,2,"1.G"
1002246861,7.6,2.9,0.64,3,2,"1.G"
1005161646,7.625,2.9,0.64,3,2,"1.G"
1006915675,7.65,2.9,0.64,3,2,"1.G"
1006922307,7.675,2.9,0.64,3,2,"1.G"
1004743894,7.7,2.9,0.64,3,2,"1.G"
1005184182,7.725,2.9,0.64,3,2,"1.G"
1005184218,7.75,2.9,0.64,3,2,"1.G"
1002204605,7.775,2.9,0.64,3,2,"1.G"
1005184173,7.8,2.9,0.64,3,2,"1.G"
1005184227,7.825,2.9,0.64,3,2,"1.G"
1004776843,7.85,2.9,0.64,3,2,"1.G"
1004789678,7.875,2.9,0.64,3,2,"1.G"
1000624746,7.9,2.9,0.64,3,2,"1.G"
1000625493,7.925,2.9,0.64,3,2,"1.G"
1002175437,7.95,2.9,0.64,3,2,"1.G"
1003240712,7.975,2.9,0.64,3,2,"1.G"
1007099220,8,2.9,0.64,3,2,"1.G"
1006003271,8.025,2.9,0.64,3,2,"1.G"
1005635479,8.05,2.9,0.64,3,2,"1.G"
1001870904,8.075,2.9,0.64,3,2,"1.G"
1007410476,9.1658536585,2.9,0.64,3,4,"1.G"
1001953506,9.187804878,2.9,0.64,3,4,"1.G"
1002175121,9.2097560976,2.9,0.64,3,4,"1.G"
1002190016,9.2317073171,2.9,0.64,3,4,"1.G"
1000431254,9.2536585366,2.9,0.64,3,4,"1.G"
1000517907,9.2756097561,2.9,0.64,3,4,"1.G"
1000517925,9.2975609756,2.9,0.64,3,4,"1.G"
1001951346,9.3195121951,2.9,0.64,3,4,"1.G"
1004304413,9.3414634146,2.9,0.64,3,4,"1.G"
1006453588,9.3853658537,2.9,0.64,3,4,"1.G"
1006453092,9.4073170732,2.9,0.64,3,4,"1.G"
1006452976,9.4292682927,2.9,0.64,3,4,"1.G"
1004771505,9.4512195122,2.9,0.64,3,4,"1.G"
1004797543,9.4731707317,2.9,0.64,3,4,"1.G"
1005828231,9.4951219512,2.9,0.64,3,4,"1.G"
1007087296,9.5170731707,2.9,0.64,3,4,"1.G"
1006484313,9.5390243902,2.9,0.64,3,4,"1.G"
1006484197,9.5609756098,2.9,0.64,3,4,"1.G"
1006484070,9.5829268293,2.9,0.64,3,4,"1.G"
1005133764,9.6048780488,2.9,0.64,3,4,"1.G"
1000734465,9.6268292683,2.9,0.64,3,4,"1.G"
1003699110,9.6487804878,2.9,0.64,3,4,"1.G"
1006252608,9.6707317073,2.9,0.64,3,4,"1.G"
1002235124,9.6926829268,2.9,0.64,3,4,"1.G"
1002235133,9.7146341463,2.9,0.64,3,4,"1.G"
1002190539,9.7585365854,2.9,0.64,3,4,"1.G"
1002190575,9.7804878049,2.9,0.64,3,4,"1.G"
1002190548,9.8024390244,2.9,0.64,3,4,"1.G"
1003884925,9.8243902439,2.9,0.64,3,4,"1.G"
1002176274,9.8463414634,2.9,0.64,3,4,"1.G"
1002203273,9.8682926829,2.9,0.64,3,4,"1.G"
1000209701,9.8902439024,2.9,0.64,3,4,"1.G"
1000566589,9.912195122,2.9,0.64,3,4,"1.G"
1001359876,9.9341463415,2.9,0.64,3,4,"1.G"
1001959221,9.956097561,2.9,0.64,3,4,"1.G"
1001989615,9.9780487805,2.9,0.64,3,4,"1.G"
1005641148,10,2.9,0.64,3,5,"1.G"
1006004838,10.02,2.9,0.64,3,5,"1.G"
1005827449,10.04,2.9,0.64,3,5,"1.G"
1002187308,10.06,2.9,0.64,3,5,"1.G"
1005858382,10.08,2.9,0.64,3,5,"1.G"
1000739244,10.1,2.9,0.64,3,5,"1.G"
1000733835,10.12,2.9,0.64,3,5,"1.G"
1001956774,10.14,2.9,0.64,3,5,"1.G"
1001960913,10.16,2.9,0.64,3,5,"1.G"
1002205172,10.18,2.9,0.64,3,5,"1.G"
1003334871,10.2,2.9,0.64,3,5,"1.G"
1002216206,10.22,2.9,0.64,3,5,"1.G"
1002204272,10.24,2.9,0.64,3,5,"1.G"
1001766649,10.26,2.9,0.64,3,5,"1.G"
1005829924,10.28,2.9,0.64,3,5,"1.G"
1005648989,10.3,2.9,0.64,3,5,"1.G"
1005648998,10.32,2.9,0.64,3,5,"1.G"
1006851504,10.34,2.9,0.64,3,5,"1.G"
1000738713,10.36,2.9,0.64,3,5,"1.G"
1002203327,10.38,2.9,0.64,3,5,"1.G"
1002169001,10.4,2.9,0.64,3,5,"1.G"
1001367408,10.42,2.9,0.64,3,5,"1.G"
1002174212,10.44,2.9,0.64,3,5,"1.G"
1002179028,10.46,2.9,0.64,3,5,"1.G"
1002216396,10.48,2.9,0.64,3,5,"1.G"
1005900230,10.5,2.9,0.64,3,5,"1.G"
1002197055,10.52,2.9,0.64,3,5,"1.G"
1002168958,10.54,2.9,0.64,3,5,"1.G"
1001981406,10.56,2.9,0.64,3,5,"1.G"
1006879171,10.58,2.9,0.64,3,5,"1.G"
1001954497,10.6,2.9,0.64,3,5,"1.G"
1002758557,10.62,2.9,0.64,3,5,"1.G"
1002758566,10.64,2.9,0.64,3,5,"1.G"
1001981370,10.66,2.9,0.64,3,5,"1.G"
1006920381,10.68,2.9,0.64,3,5,"1.G"
1006846401,10.7,2.9,0.64,3,5,"1.G"
1000776775,10.72,2.9,0.64,3,5,"1.G"
1001396433,10.74,2.9,0.64,3,5,"1.G"
1000459146,10.76,2.9,0.64,3,5,"1.G"
1001956396,10.78,2.9,0.64,3,5,"1.G"
1004756935,10.8,2.9,0.64,3,5,"1.G"
1004757204,10.82,2.9,0.64,3,5,"1.G"
1000467129,10.84,2.9,0.64,3,5,"1.G"
